content,그 중앙도서관 2~3층이 법학관이여?
comment,비대위 욕하는 글도 아닌데 왤케 과민반응?,11/20 21:34
comment,욕하는 글은 아니지만 속으로 해도 될 생각을 굳이 에타에 적어서 올린다는게 내가 비대위라면 속상할 것 같아서 그랬음...^^...나도 예전에 행사준비한 적 있어서 얼마나 힘든지 공감되서 그런가,11/20 21:39
comment,학생회가 아니라 비상대책위원회....,11/20 21:45
comment,우린 학생회 없어..,11/20 21:45
comment,여기서는 좀..,11/20 22:29
content,사과대 선물 글에 받아 먹으려고만 하지 말라는 사람 뭐냐.?핀트를 잘못 잡은건가? ㅌㅋ 받고싶다는 애들한테..
comment,나도 그거 보고 잉?스러웠음 ㅋㅋㅋ 근데 안받은 단과대 많아서 ㅠㅠㅠㅠㅠㅠㅠㅠ,11/20 21:58
comment,ㅇㅇ.. 굳이 저렇게 말해야함?,11/20 22:00
comment,그리고 난 20학번이라 투표도 못해봄ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 현재 비대위 상태인게 내 잘못도 아니고,11/20 22:08
comment,내말이 .... 새내기들한테 왜 저 난리야 ......,11/20 22:09
comment,주변에 저런 사람 있을까봐 겁남 ㅎ,11/20 22:09
comment,삭제된 댓글입니다.,
comment,ㅋㅋㅋㅋㅋㅋㅋ밑에 다시 읽어보니 대충 무슨 의도인진 알겠는데 너무.. 갑툭튀야 갑자기 저게 뭐지 ㅎ,11/20 22:06
comment,근데 새게에 그런 글 한동안 올라온건 맞잖으 저런말 한 것도 이해가긴 함,11/21 00:10
comment,나 반수생인데 저번 학교에서 학생회 하다 들어와서... 대충 이해는 할거같음,11/21 00:12
content,교수님 수업하실 때마다 문 밖에서 아기 소리 뿌애앵 소리 나는거 너무 구엽~...애기 어린가봐 넘 귀여웡 랜선이모가 된 기분 정말 난 주책이다...
comment,ㅂㅎ?,11/21 01:23
comment,아냥,11/21 12:05
content,라틴연구 서평 이메일 받았다~~글자크기 11포인트 분량 a4 3페이지 정도~수업 듣는 분들은 참고하세여
comment,삭제된 댓글입니다.,
comment,그거 이클래스 공지사항에 올라와있어요,11/20 22:52
comment,감사합니당♡,11/20 23:11
content,장터게 치킨 게시물 개웃김 ..제시해달라놓고 지가 가격 제시하노
comment,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ나도 봄ㅋㅋㅋㅋㅋㅋ,11/20 22:40
comment,1.8짜리 1.3에 팔면 손해라고 생각해서 그런듯,11/20 22:47
comment,ㅋㅋㅋㅋㅋ그러네 그럴거면 왜 제시해달라함...?,11/20 22:53
content,지자세 ㅇㅂㅅ 교수님 에세이 기간 연장됨??
comment,ㅇㅇ 대선배님 덕분에,11/20 23:18
comment,와 오늘 말하셔서 그런거구나 ㄹㅈㄷ 진짜게좋당~~~~~,11/20 23:52
comment,엥?? 확인하니까 그대로던데,11/20 23:32
comment,다시 ㄱㄱ,11/20 23:52
comment,월목반이야?,11/21 18:21
content,근데 새내기 중에서 홍보공약글 그런거 자세히 읽는 사람 있어? 난 후보 누구누군지도 사실 잘 모름...
comment,나는 투표당일에 읽어보려고 사실 지금부터 고민할껀 아닌듯,11/20 23:51
comment,ㅇㅇ근데 무슨 새내기한테 갠톡까지 보낸 후보도 있다고 하네.... 신기,11/20 23:51
comment,경쟁이 치열한가..?,11/20 23:52
comment,이번에 경선이 많이서 그래요 잘 모르더라도 공약 꼼꼼히 읽어보시고 올바른 투표 행사하세요! 😉,11/21 00:09
comment,아는게 없으니까 공약이라도 보고 뽑아야지 ㅠㅠ,11/20 23:57
comment,그거 어디서 읽어? 아싸라 몰러어 ㅠㅠㅠㅠ,11/21 00:11
comment,엥?핫게에 없음 인스타나 페북에서 볼수있어!,11/21 00:33
comment,감사감사링** 하지만 난 인스타 페북 안하는 앗싸아 라서 그냥 지나갈 예정🥺😍,11/21 01:44
comment,헐 ㅠㅜ 우리는 과단톡방에 다 올라오던데 그거라도 읽어봐!!!,11/21 01:46
comment,웅 거마워! 올라오면 읽어보께!,11/21 02:03
content,칭구들 남자친구한테 선물하면 좋을만한 미백 팩? 크림? 추천해조오..
comment,치카이치코 미백크림 연옌들도 많이 쓰구 괜찮다던데...!,11/20 14:35
content,복수전공 신청 언제부터인가요??
comment,12월 2일요,11/20 09:17
comment,이거 2학기 휴학한 1학년들은 내년 1학기때 할 수 있는거죠?,11/20 10:18
comment,저도 잘...,11/20 10:19
comment,ㅇㅇ,11/20 10:29
content,오늘 9시 자명 김창언 교수님 과제나 별다른 공지사항 있었나요?
comment,아니용,11/20 10:04
content,글로벌서비스전략 ㅎㅎㅇ교수님기말고사 몇일에 보신다고 하셨죠..?
content,ㅈㅇㄷㅁ s2 시켜먹고 글 쓰는 거 있잖아 rough draft도 완전히 형식 갖춰서 써야 하는 건가?? 아니면 대충 개요만 잡고 어떤 내용 쓸건지만 잡으면 돼??
comment,나도 알려줄사람....ㅜ,11/20 13:23
content,갑자기 너무 춥잖아.....
content,자명 ㅎㅇㄱ 교수님 마지막에 출석 한번 더 불렀나요?
comment,어니요...?,11/20 11:27
comment,감사합니다,11/20 13:36
content,eas2ㅋㅅㄹㅁㅇ 교수님 오늘도 줌수업 없는거맞죠???
comment,넹,11/20 11:12
content,"오늘 나삶나비 역대급,,,"
comment,왜??,11/20 13:19
comment,내 인생이 더 역대급,11/20 14:03
content,솔직히 내년 새터 가능성 있을까...?다음주 투표라고 선배가 카톡보내길래 회장 나온사람들 공약 보는데 가능성이 안보여서...당장 오늘늘 확진자 360명... 완전히 박멸되지 않는 이상 못할거같은데...
comment,절대 못해,11/20 13:17
comment,내년 2학기도 힘들듯.. 가능성있는건 내후년ㅜㅜ,11/20 13:17
comment,백신 슬슬 나오는데 2학기면 가능할 것 같은딩,11/20 18:22
comment,불가능,11/20 13:21
comment,22학번은 돼야 가능할거 같은데 그때되면 우리 3학년이라 우리가 추진해야된다며..? 아무것도 모르는데...,11/20 14:32
comment,그래도 난..마지막 희망의끈 놓지않아볼래.. 추진해주세오..제발,11/21 02:34
content,eas2 크레이그블리스 과제좀 설명해주실 분 계신가요.. 사례하겠습니다. 쪽지주세요
comment,s2? s3?,11/20 14:32
comment,s2,11/20 14:40
comment,프로젝트 말하는거에여!? 아님 mishap 말하는거에여???,11/20 15:01
comment,둘다요 ㅠㅠ,11/20 16:00
content,교수님 그걸 거기서끊으시면어떡 합 니 까 아아아악ㅠ
comment,그래서 나무위키로 정독함 ㅋㅋ,11/20 13:59
content,드뎌 왔다....!
comment,핸드크림 개조아 ㅎ,11/20 14:35
comment,인정ㅎㅅㅎ,11/20 14:36
comment,솔직히 ㅠㅠ 개감동아님,11/20 15:28
content,사과대도 제발 선물..
comment,그러니까 ㅋㅋㅋㅋㅋ등록금 내고 누구는 받고 누구는 못받고 이게 뭐냐고,11/20 14:39
comment,진짜 문과대 선물 젤 부러웠다.. 아 ㄹㅇ 사과대 ㅜ,11/20 14:40
comment,그니까 문과대 텀블러 예쁘던데ㅠㅠㅠ유에스비랑 ㅠㅠㅠ하ㅠㅠㅠㅠㅠㅠ,11/20 14:42
comment,근데 그걸 또 번개장터에 비싸게 파는 애들도 있ㄷ라.. 하 진짜 사과대 선물 존버한다,11/20 14:43
comment,아니 그걸 왜팔아 미친 가보로 남긴다 나는  그러니까 사과대 선물 쥬세요,11/20 14:44
comment,뭐받고싶오?,11/20 14:45
comment,"나 텀블러,,,문과대 ,,, ㅠㅠㅠ 보고 너무 예뻐서 진짜 아직까지도 ㅋㅎㅋㅎㅋㅎㅋㅋㅎㅎㅋㅋㅋ생각남",11/20 14:45
comment,에코백도 ㅎㅎㅎ ㅠㅠ 너는 받았닝??,11/20 14:46
comment,"아뉘,, 난 헌내기야 ,, 사진 찾아보니까 없네ㅠㅠ 혹시 텀블러도 아코 버전이었어?",11/20 15:02
comment,앗 슨배님이셨군용! 넹 ㅠㅠ 아코 에디션이욤,11/20 15:15
comment,그렇구나 ㅠ 꼭 받을 수 있을거야 화이팅행,11/20 15:48
comment,선!물!줘! 선!!물,11/20 17:53
comment,"얘들아 받는걸 너무 당연시여기지마.., 심지어 사과대 학생회도 비대위도 없어서 아무것도 못해..",11/20 19:54
comment,근데 진짜 귱금한데요 왜 학생회가 없어요...? 뭔일있었어여?,11/20 21:50
comment,익 8//아마 코로나 때문인지 학생회 구성이 안되서 비대위가 있었는데 위원장이 사퇴함...,11/20 21:52
comment,선거 안나온것도 있고 작년엔 총대가 개난리쳐서 선거무산시킨 것도 있음 하여튼 사과대가 17년도 이후로 계속 비대위였는데 올해 비대위장이 사퇴를 해서 지금은 아무것도 없어요..,11/20 21:54
comment,학생회가 있다 하더라도 여러분이 내신 학생회비에 따라서도 퀄리티가 천차만별이니 복지를 바라려면 우리도 그만큼 대응해줘야해요! 무조건 얻어먹으려고만 하지 마세욥,11/20 21:56
comment,아합...! 검사합니다!!!,11/20 22:23
comment,똥국대님 공대도 선물 주세요 엉엉,11/20 21:47
comment,가물가물한데 학기초에 새내기들 나눠주던거 돈주고라도 갖고싶었는데 뭐였더라..,11/20 21:47
comment,동국대 마크달린 손풍기?,11/20 21:54
comment,얘들아 이게 선거해야하는 이유야.. 학생회가 없으면 아무것도 지원 못받아,11/20 21:50
comment,경영대는 핸드크림 주던데ㅠㅠ우리도...ㅠ,11/20 21:54
comment,받은데가 문과대 경영대야?,11/20 21:54
comment,그게 다 너네 사과대 학생회장이 없어서 그래 ㅋㅋㅋ 대표자가 부재 중이자너~~ 투표좀 잘 하지 그랬어 ㅎㅎ,11/20 21:59
comment,저 새내기인데요.?,11/20 22:09
comment,ㅋㅋ말 뽄새보소,11/20 22:29
comment,학생회장 없는게 새내기탓도 아닌데 말 왜그렇게 함 ?,11/20 22:46
comment,삭제된 댓글입니다.,
comment,ㅇㅇ 게시글 봤어.. 이런 댓글은 왜 다는거야?,11/20 22:04
comment,문과대에 뭘줬어..? ㅋㅋㅋㅋㅋ,11/20 22:12
comment,저번에 에타에 텀블러랑 에코백..! 사진 올라왓었어......,11/20 22:12
comment,왔,11/20 22:12
comment,사과대에서도 받은 과는 있어!,11/20 22:24
comment,어디??,11/20 22:28
comment,과마다 다르던데 정외과도 아코 선물 받았드라!!,11/21 02:00
comment,마자ㅠ 경영대는 록시땅 핸드크림도 받앗도라,11/21 01:31
content,방금 ㅈㅇㅈ 교수님 정치학개론 중간과제 공지 이외 다른 공지 있었나요?
content,미래환경과 위험사회 프로젝트 팀입니다! 플라스틱 거리두기 운동을 실천 중인 저희 조에서 ‘플라스틱에 대한 인식’설문조사를 시행중입니다.어렵지 않은 간단한 내용이니 참여부탁드려요!!🙏🙏https://docs.google.com/forms/d/e/1FAIpQLSf6iZtjtYRbHl-4K0-fbMlNRiJQtNp13s5JyNG0to-AUQQk-w/viewform?usp=sf_link
content,아무것도 하기싫다 으아아아아아ㅏ아어억
comment,제발종강,11/20 15:27
content,혹시 토익점수조건하에 EAS대체되는것처럼 컴활같은걸로 소프트웨어 수업 대체 되나요?
comment,삭제된 댓글입니다.,
comment,헐룽따 감삼당,11/20 16:24
content,ㄷㅇㄹ 교수님 피드백 받는 거 늦게 제출했으면 점수 감점 있는 건가?
content,아니 ㅅㅂ 좀 시간 넘었으면 끝내라 어휴
comment,22,11/20 19:13
comment,ㅊㄱㅎ?,11/22 19:40
content,경통 ㄱㅅㄱ 교수님 이번주 과제 답지랑 답 달라?? 난 왜 모르겠지
comment,삭제된 댓글입니다.,
comment,엑셀로 풀어야 알 수 있는거지..? 엑셀 아무리해봐도 모르겠어서ㅜㅜ,11/19 18:13
comment,아 그래???난 모르게ㅆ다 ㅅㅂ..,11/19 18:15
comment,다르대?,11/19 20:26
comment,ㅇㅇㅇ,11/19 20:37
content,eas2 제프리 조단 교수님 에세이 한 단락 당 꼭 5문장이여야만 돼???
comment,5문장에서 10문장!,11/19 18:59
comment,땡켜!!,11/19 19:06
content,오늘 일물실 레포트 오차가 좀 크네...나만 그런가 ㅋㅋㅋ
comment,아 오차가 심할수 밖에 없구나,11/19 19:10
comment,왜 오차가 심할수밖에 없어??,11/20 12:44
content,혹시 ㅂㅅㅇ교수님 기본권론 오늘자 수업 녹화하신 분 계신가요ㅠㅠㅠㅠㅠ 사례하겠습니다 댓글 남겨주세요ㅠㅠㅠ
comment,ㅂㅅㅇ교수님 다시보기올려주셔요 하루쯤 뒤에,11/19 23:20
content,오픈북의 뜻: 네들 봐봤자 모를 거다. 수고링~
comment,삭제된 댓글입니다.,
comment,아니,11/19 19:45
comment,어느과목?,11/19 20:25
comment,경통,11/19 20:25
comment,오픈북이라서 개어렵게나올듯 한문제도 못풀겠누,11/19 20:26
comment,이것도 있지 >> 문제 많아서 참고할 시간도 없을 것,11/19 21:52
content,"형총 ㄱㄷㅅ 자료 1,7,8 있는 사람ㅠㅠㅠ제발여ㅠㅠ.."
content,이번 학기에 자율사물듣는데 기말 준비 다들 하실건가요 1주차부터 듣지도 않았는데
comment,반만해도 충분히 가능함,11/19 20:42
comment,ㄴㄴ,11/19 22:29
content,학생증 만들어놓고 아직도 안찾았는데...ㅋㅋ 보관하고 있으려나..
comment,그러다 3학년까지간다..ㅋㅋ,11/19 21:26
comment,나는 안만들었는데 ㅋㅋ아,11/19 21:29
comment,ㅇㅇ난 학사운영실에서 받았어,11/21 00:55
content,리더십 아무리 대충해두 된다지만 파일 볼 때마다 빡침ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
comment,인정 아무리 주작 대충한다고 해도 그냥 파일 볼 때마다 확 치밀어오름,11/19 21:38
comment,존나공감,11/20 00:05
comment,ㅇㅈㅋㅋㅋㅋㅋㅋㅋㅋㅋ귀찮아ㅏ,11/19 21:55
comment,ㄹㅇㅇㅈ,11/19 22:51
content,민시경 ㄱㅇㅎ교수님 수요일 9시수업 들으시는 분들 5주치 출석처리 되어 있으신가요?
comment,5주차,11/19 20:54
comment,저는 5주차 미처리되어있어요! 글쓴님은 1주차 8주차 9주차 출석 어떻게 되어있나요?,11/19 22:17
comment,"8,9주차는 출석처리 되어있는데 1주차는 결석처리 되어있습니다",11/20 02:00
content,거시경제원론 ㄱㅈㅇ 교수님 과제 내일 밤까지 제출 맞지?
comment,나두몰라서 지식인에 찾아봄 ㅎ 20일 자정이면  20일에서 21일 넘어가는 12시니까 내일까지야,11/19 21:25
comment,도저히 주제를 못잡게따...^^,11/19 21:25
comment,"나도,,,,",11/19 21:44
comment,혹시 진도 안나간 부분은 내용 사용하면 안되려나요??,11/20 00:05
content,묜실 예약 5분정도 늦어도 ㄱㅊ나..?
comment,그정돈 ㄱㅊㄱㅊ,11/19 21:57
content,법밤 사람들 많이 왔니..?
comment,ㅇㅇ 한 70?,11/20 00:30
content,"eas2 s3 ㅈㅇㄷㅁ 두명이서 하는과제 점수 다들 나오셨나요.....? 왜 점수가안오지,,,,,"
content,에이미우 교수님 과제 있자나.. spacing 2.0이 뭐 하라는지 혹시 아니..
comment,줄간격 2.0,11/19 23:57
comment,서둘러요~,11/19 23:57
comment,감사합니다 ㅠㅠ 내일까지니까요! 할 수 있어요!,11/19 23:59
comment,아 월수반 아니셨구나ㅎㅎ,11/20 00:01
content,ㅂㅈㅎ 교수님 자기세 다들 발표 몇 분 할 거니
comment,"아니근데 대체 뭘말해야할까,, 하",11/20 05:34
content,에이미우 교수님 수업 들으시는 분 계신가요 이거 표지도 12포인트에 2.0띄어쓰기 해야 되나요? 이것땜에 못내고 있어요ㅠㅠㅠ
comment,아닌 걸로 알고 있어요,11/20 01:18
comment,교수님께서 따로 언급하셨었나요?,11/20 01:18
comment,저는 혹시 몰라서 전부 다 12포인트에 2.0으로 했어요!,11/20 01:18
comment,앗 고민되네요 ㅡㅠㅠ감사합니다,11/20 01:21
comment,전 표지두 ...다 그렇게 했어용..,11/20 01:33
content,막국수만 파는곳없나요...보쌈이나 족발말고 막국수만 먹고싶은데...ㅠㅠ
comment,보쌈 족발 막국수 마싯겟다 으아ㅏ아아,11/20 01:37
content,컨버스 런스타하이크 너무 끝물인가요
comment,뭐든지 근본인 클래식 1970s가 짱입니다 유행도 안 타고,11/20 02:26
comment,"그죠,,,근데 키가 171이어서 보완하구싶은데 런스타사도괜찮겟죠",11/20 02:27
comment,키도 커보이면서 단정해보이고 싶으면 그냥 키높이 스니커즈 단정한 거 하나사세요!,11/20 14:37
comment,사세여 이쁨,11/20 02:34
comment,키171인데 사면 너무키커지려고산거같으려나여,11/20 02:34
comment,끝물이긴한듯 나도 사려다 안샀어,11/20 06:39
comment,여자가 신으면 귀여운데 남자가 신으면 좀 애매함..,11/20 13:06
comment,왜여?,11/20 13:29
content,화금 제프리조단 수업듣는 친구들아! 우리 오늘 수업은 선택적인거 맞지?
comment,마자용 낼은 프러젝트 직접 피드백 받을사람만~,11/20 01:59
comment,대답해줘서 고마워😊❣,11/20 01:59
content,뭐야 나 이제확인했는데 유일하게 핸드폰으로 들은날 결석처리되어있어.. 이거 어떡해 이거 빠진걸로 인정되면 나 F일텐데ㅠㅠㅠ 교수님한테 문의드려야되나 보통 3번 빠지면 F지..?ㅠㅠㅠㅠ
comment,ㅇㅇ문의 고고 3번 빠지면 자동 f일 걸,11/19 13:23
comment,고마워 문의 넣어서 교수님이 정정해주셨어!,11/19 15:56
comment,핸드폰으로 들은거는 자동으로 연결안된대,11/19 13:35
comment,엥 나 계속 폰으로 들어감.. 이클 안통하고 분제된적 x,11/19 14:58
comment,다 그런건 아니고 종종 그런 경우가 있대..! 나는 인정 받아서 교수님이 출석 처리해주셨어ㅠㅠ,11/19 15:56
comment,이클래스 들어가서 원격강의 기록 확인해바,11/19 17:42
content,연강이라고 빨리 끝내신다면서요..ㅠㅜㅜ
content,오늘 ㅈㅈㅂ 교수님 불교와 인간 수업 녹화본 있으신 분 있나요?ㅜㅜㅜㅜㅜ
content,라틴아메리카 수업끝나자마자 나가서 그러는데 서평 분량에 대해서 교수님이 뭐 언급하셨어?
comment,안하셔서 따로 메일 보냄 ㅋㅋㅋㅋㅋㅋㅋㅋ,11/19 13:36
comment,답오면 나도 알려주랔ㅋㅋㅋㅋㅋ,11/19 13:40
comment,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅇㅈㅋㅋㅋㅋㅋ,11/19 13:37
comment,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ뭐좀 말해주시죠..,11/19 13:37
content,라틴아메리카 발표 다들 몇번하셨나요? 발표점수도 들어간다고 들은것같아서
content,캐서린 무어 교수님 eas1 오늘 수업 없나요?
comment,삭제된 댓글입니다.,
comment,뭘까용,11/19 14:14
comment,아직도 교수님 안들어오셨죠?,11/19 14:13
comment,네 ㅜ,11/19 14:14
content,시발 진짜 적당히 하지......
comment,누구..?,11/19 14:26
comment,Eas,11/19 14:27
comment,왜..뭔일이얌,11/19 14:30
comment,무신일...???,11/19 14:48
comment,삭제된 댓글입니다.,
comment,오우쉬엣,11/19 15:02
comment,ㄷㄷㄷㄷㄷㄷ,11/19 15:10
content,자율사물입문도 시험보니까 단톡방 같은거 만들어서 공유해야 하나??
comment,피피티랑 구글링으로 충분하대,11/19 14:40
comment,ㄴㄴ구글링,11/19 14:53
comment,구글링 한다는게 문제에 있는 키워드 몇개 구글에 검색해서 찾으면 나온다는거야??,11/19 14:59
comment,ㅇㅇ웅 그렇다는데?,11/19 18:20
comment,그래도 우리 하자...,11/19 21:49
comment,하면 나도 끼워쥬ㅓㅠㅠ,11/19 22:52
content,학기글 너무 졸리다.... 뒤척뒤척 하는 중
comment,ㅇㅈ,11/19 14:48
comment,이렇게 관심 없는 발표도 오랜만이다... 😅,11/19 15:19
content,오늘 ㅈㅈㅂ 교수님 불인 강의 녹화본 있으신분!재접속 이후에 강의를 못들었어요ㅠㅠㅠㅜㅜ
content,"혹시 수능때수학 나형, 세계사, 사회문화 보신분들 계신가요?각각 몇년도 수능/모고가 젤 어려웠는지 알려주세요 ㅠ동생 풀려야하는데 어려운거풀려서 정신 좀 차리게 하려구요"
comment,문과고 수학 나형 쳤는데여 2017~2019 수능은 엄청 쉬웠는데 2020년이 가장 까다로웠어요,11/19 14:52
comment,그리고 사탐은 생윤 사문 쳤는데 사회문화는 사실 공부하면 음.. 딱히 어렵다?고 느낀 모의고사나 수능 문제는 없었어요,11/19 14:53
comment,오 감사합니다!! 그럼 혹시 사문은 그나마 좀 까다롭다고 느낀 연도도 없으실까요?,11/19 14:55
comment,18년도 나형이 역대급 물난이도,11/19 15:37
comment,"음.. 사문은 거기서 거기인것 같아요 ㅠㅠ 사문 젤 어려운 문제가 그래프, 표 나오는 마지막 문제인데 이거는 사실 많이 풀다보면 적응 돼가지구,, ㅠㅠㅠ",11/19 18:19
comment,13부터 다 풀고 이지영 파이널모고도 다 풀어봤지만 사문 19수능이 지금까지 제일 어려웠고 그 다음이 20수능,11/19 15:02
comment,오호!!! 정말정말 감사합니다! 수학은 2020 수능 사문은 2019수능 풀려야겠네용,11/19 15:03
comment,"그리고 수학은 18년도 6,9 모고가 까다로운 유형 은근 많음. 20수능은 아다리로 풀 수 있는데 18년도꺼는 아다리로 안풀림",11/19 15:05
comment,오호 18년도 모의고사!! 감사합니다,11/19 15:40
comment,가물가물하지만 세계사는 2019 수능 그 목욕탕 문제 나오는거랑 이번 2019 수능 어려웠던 것 같아여.....! 평가원보단 수능이 어려웠던 듯..?,11/19 15:04
comment,아니 이번 2020수능이요!,11/19 15:04
comment,아하 2019수능이랑 2020수능!! 감사합니다 ㅎㅎ,11/19 15:41
comment,맞아여 세계사는 이번년도수능이 가장어려웠던것 같아여,11/19 15:47
comment,세계사 작년 수능이 젤 어려웟음,11/19 16:28
comment,"수학 나형 작년 10모, 수능이요! 아님 더 옛날로 가서 시행년도 2011~2014년? 이때 전반적으로 다 어려워서 등급컷 완전 낮았다고 들었어요",11/20 22:56
comment,오호 2014년도꺼랑 지금이랑 교육과정 똑같나요 ?!,11/20 23:05
content,4차산업혁명과 ICT융합기술 요약본 만드실 분들 구해요! 6명 정도 더 받을 생각이에요! 댓글 남겨주세요!
comment,저요!,11/19 15:06
comment,쪽지 보냈어요!,11/19 19:01
comment,저요!,11/19 15:18
comment,쪽지 보냈어요!,11/19 19:01
comment,저요!,11/19 15:28
comment,쪽지 보냈어요!,11/19 19:02
comment,저요!,11/19 17:28
comment,쪽지 보냈어요!,11/19 19:02
comment,저요!!,11/19 18:53
comment,쪽지 보냈어요!,11/19 19:02
comment,저요?,11/19 19:39
comment,쪽지 보냈어요!,11/19 23:22
comment,저요,11/19 23:01
comment,저요!,11/20 09:05
comment,저요!,11/21 18:35
content,자기세 ㅈㅇㅈ교수님11월 12일 출결다들 결석으로 체크되어있어???
content,경통 오늘까지 내야하는 과제 몇번 문제인지 알려주세요 ㅠㅠ..
content,번역학입문 과제 오늘 할테야
comment,엥 과제가 있어? 아 그러네 허허,11/19 17:47
comment,지금 하는 중인데 문제 이해 못해서 우는중....,11/19 20:27
content,11.19 기술과사회 김명진 교수님 녹화하신 분.. 사례하겠습니다 !!
content,나만 자기세 ㅈㅇㅈ교수님 저번에 수업 못하신다 했을때 수업 아예 안하는 줄 알았어..? 그때 영화봤나보네 ㅠㅠ
content,오늘 법밤 다들 들어갈거야????
comment,웅,11/19 16:58
comment,ㅇㅇ,11/19 16:58
comment,ㅇㅇ 당연,11/19 16:58
comment,에어팟 프로 받을 거임,11/19 16:58
comment,ㅋㅋ꿈이 크군,11/19 18:09
comment,캠 켜야돼?,11/19 16:58
comment,자유,11/19 17:13
comment,에어팟 프로인데 들어가야지,11/19 16:58
comment,삭제된 댓글입니다.,
comment,머가 찐따야 ㅡㅡ,11/19 17:13
comment,아나 웹엑스 올만에드가니 안되네,11/19 18:31
comment,사람 별로 없어서 프로 쌉가능임 기대중 ㅎ,11/19 18:39
content,하 난이제 틀렸어대학은 역시 독학이지
content,하필 지금 웹엑스가 안되네
content,오늘 자표글 ㄴㅈㅅ 교수님 출첵 하셨나요..? 지각했다고 말씀드려야하나..고민돼서요
comment,아뇽 출첵 안하셨어요,11/19 11:07
comment,앗 감사합니당,11/19 11:08
content,불인 ㄱㅎㅅ 수업 끝난 건가요?? 인터넷 연결이 끊겨서 한참 있다 들어왔는데 수업 끝난 것 같아서... 오늘 일찍 끝났나요??
content,2학기에 자표글 ㄱㅇㄱ들은 분들 교수님 어떠신가요??
comment,삭제된 댓글입니다.,
comment,저도 이번에 계절 신청해서 궁금한게 있는데 쪽지드려도 될까요?,11/19 11:18
comment,전 1학기 들었는데 진짜 좋으셔요,11/19 11:17
comment,그런가요? 다행이에요ㅠ,11/19 11:18
content,뭐먹징
comment,떡볶이,11/19 11:20
content,"형총 ㄱㄷㅇ교수님 월,수 수업 안하신거맞지..?출첵 결석되있으니 괜히 불안...ㅎ"
comment,ㅇㅇ,11/19 12:46
content,자명 ㅇㄱㅅ 교수님결석 두 번에 지각 한 번이면 혹시 F일까...
comment,아직은 아냐...,11/19 13:39
content,우리 조가 봐도 저건 소명으로만 보기에는..
content,웹엑스 원래 귀하는 음소거되었습니다 발언하려면 음소거를 해제하세요 뭐 이런 알람자주 뜨나? 왜자꾸 나오지
comment,마이크 인식해서,11/19 11:20
comment,고마워!,11/19 11:21
content,경영 전과 준비하는 새내긴데 조직행위(영강) vs 회계원리 어떤거 듣는게 나을까요?
comment,회원 들어보고 결정하세용,11/19 11:34
comment,교바교..,11/19 13:18
content,광고학개론 기말 시험 보나요?
content,전과하면 들었던 전공은 어떻게 표시되나요? 전과하고 이전 전공 재수강할수있나요?
